,longitude,latitude,name
432,-8838711.14559,5411743.57232,30019197
433,-8838704.05899,5411688.55937,30019202
434,-8838697.16497,5411690.55944,30019201
435,-8838687.15846,5411693.67032,6925231
436,-8838705.6119,5411724.51768,14205026
437,-8838681.28414,5411715.16192,30019166
438,-8838651.24902,5411699.13361,6925233
439,-8838675.2662,5411707.04929,6925232
440,-8838654.93481,5411713.07568,30019189
441,-8838758.78254,5411988.13983,7853082
442,-8839164.38846,5411858.04714,7808886
443,-8839188.20304,5411913.855,7808332
444,-8839182.93652,5411915.65203,7808297
445,-8838772.69636,5411362.54238,30081071
446,-8838773.72161,5411367.8947,30081069
447,-8838773.10045,5411378.8655,14120831
448,-8838705.18888,5411358.90546,20363641
449,-8838699.21882,5411355.30084,20363642
450,-8838682.50086,5411347.12391,20363645
451,-8838692.77008,5411352.17468,20363643
452,-8838687.99447,5411349.2916,20363644
453,-8838637.75154,5411415.28415,30063475
454,-8838636.30438,5411410.4195,30063474
455,-8838733.9338,5411605.49823,20363682
456,-8838730.71667,5411614.64926,20363681
457,-8838733.17349,5411621.82947,20363680
458,-8838804.23651,5411758.75144,7807818
459,-8838799.74588,5411729.64097,14205068
460,-8838796.70686,5411760.90077,30019706
461,-8838791.33013,5411762.83624,30019705
462,-8838784.44725,5411764.77017,30019703
463,-8838777.13133,5411767.13489,30019704
464,-8838800.31361,5411905.22986,7853531
465,-8838653.09247,5411706.56928,30019186
466,-8838657.24246,5411720.04673,30019192
467,-8838659.31746,5411726.32083,30019188
468,-8838707.7381,5411728.49015,30019200
469,-8838708.66762,5411732.8011,30019199
470,-8838700.94872,5411753.78045,30019196
471,-8838693.76973,5411756.0944,30019195
472,-8838686.3603,5411758.40835,30019194
473,-8838679.41397,5411760.25766,30019193
474,-8838661.39357,5411732.82725,30019191
475,-8838663.70011,5411739.33522,30019190
476,-8838666.00554,5411746.30474,30019187
477,-8839179.1472,5411399.77636,14606828
478,-8839153.82424,5411388.86092,30029750
479,-8839123.67002,5411291.36563,2857015
480,-8839286.24212,5411835.05975,879051
481,-8839157.66476,5411860.00879,7808885
482,-8839147.86197,5411750.93571,796647
483,-8839140.1197,5411745.29547,796646
484,-8839176.6837,5411917.55984,7808291
485,-8839163.22629,5411920.59695,7808549
486,-8838843.57014,5411442.25669,7807920
487,-8838666.00887,5411348.06391,20363646
488,-8838661.22659,5411349.25776,20363647
489,-8838642.57946,5411431.83043,30063476
490,-8838636.88324,5411439.83051,30063503
491,-8838632.062,5411441.29668,30063501
492,-8838627.03036,5411442.13361,30063499
493,-8838620.53041,5411443.80747,30063498
494,-8838615.28838,5411445.48441,30063495
495,-8838744.24755,5411638.6669,20363678
496,-8838751.14825,5411641.89162,14205072
497,-8838764.86615,5411671.99724,6925229
498,-8838747.20197,5411675.89583,30019240
499,-8838740.75212,5411677.67282,30019241
500,-8838813.80554,5411938.92272,7853540
501,-8838741.30093,5411784.88033,7807808
502,-8838735.71269,5411786.5204,30019434
503,-8838729.47434,5411788.18202,30019437
504,-8838723.65122,5411789.70517,30019424
505,-8838717.67782,5411801.79806,30019438
506,-8838710.96302,5411803.63508,30019707
507,-8838734.99468,5411859.52415,7853526
508,-8839119.89183,5411303.95479,2857013
509,-8839112.44567,5411312.49168,2857012
510,-8839090.92539,5411316.01474,2857007
511,-8839137.85212,5411359.78084,14606830
512,-8839115.07281,5411367.08239,2857010
513,-8839119.0369,5411368.7947,2857011
514,-8839138.16716,5411754.7728,796645
515,-8839134.48137,5411755.83747,796644
516,-8839128.1395,5411757.65601,796643
517,-8839195.58241,5411950.64347,7808061
518,-8839186.99077,5411953.6129,7808075
519,-8839170.37188,5411921.21391,7808285
520,-8838839.18081,5411437.15202,7807919
521,-8838851.83784,5411468.1816,7807922
522,-8838846.2919,5411462.78153,7807921
523,-8838850.82261,5411478.37558,7807923
524,-8838829.07857,5411389.06092,6925095
525,-8838655.25096,5411350.92853,20363648
526,-8838650.94623,5411352.36237,20363649
527,-8838663.90716,5411377.05165,30028656
528,-8838609.83706,5411447.15981,30063493
529,-8838604.38574,5411448.83522,30063491
530,-8838599.35522,5411449.25061,30063486
531,-8838594.11429,5411450.92755,30063485
532,-8838589.08043,5411452.39218,30063483
533,-8838583.84062,5411453.01834,30063481
534,-8838734.88892,5411629.2543,20363679
535,-8838857.89807,5411840.82621,7807899
536,-8838854.42825,5411840.86621,7807898
537,-8838817.15737,5411787.86047,7807895
538,-8838781.96037,5411782.53406,30081056
539,-8838809.29487,5411934.45166,7853538
540,-8838811.61366,5411946.59706,7853542
541,-8838736.51085,5411866.74301,7853528
542,-8838705.20113,5411805.67825,30019449
543,-8838698.2303,5411816.99113,30020503
544,-8838692.96934,5411817.92656,30020504
545,-8838682.47525,5411821.77752,7807806
546,-8838690.54814,5411986.87513,811177
547,-8838686.39704,5411988.06291,811176
548,-8838679.15348,5411992.00318,811174
549,-8839109.00924,5411371.56394,2857009
550,-8839101.03877,5411377.39472,2857008
551,-8839079.66988,5411319.22858,2857006
552,-8839034.38399,5411313.5886,14205115
553,-8839035.53392,5411318.07781,20363788
554,-8839036.31427,5411321.62549,20363789
555,-8839036.89981,5411325.37317,20363787
556,-8839038.27016,5411329.71316,8031476
557,-8839233.77167,5411765.21942,7808145
558,-8839227.94521,5411754.84358,7808141
559,-8839058.37223,5411770.50581,793079
560,-8839154.7237,5411922.40783,7808278
561,-8839174.5074,5411963.35354,7808117
562,-8839152.13886,5411952.43436,14123258
563,-8838829.63517,5411396.10249,7807918
564,-8838784.0888,5411398.97481,30081068
565,-8838776.68717,5411401.55483,30081067
566,-8838769.46142,5411403.2733,30081065
567,-8838760.51244,5411405.50562,30081063
